14	28	16	25	16	
15	20	17	25	22	
15	15	28	21	20	
17	30	14	21	17	
13	20	15	30	21	
10	28	15	27	19	
11	23	14	25	26	
14	27	18	22	18	
16	23	15	17	28	
16	19	17	29	18	
17	23	15	27	17	
11	17	22	28	21	
10	19	18	25	27	
15	18	25	16	25	
21	16	24	22	16	
15	22	18	16	28	
16	15	21	20	27	
20	19	18	17	25	
10	27	13	27	22	
17	14	15	28	25	
12	25	17	24	21	
14	26	11	22	26	
11	21	16	29	22	
15	19	23	19	23	
19	19	17	23	21	
15	22	20	26	16	
13	14	23	30	19	
18	12	23	23	23	
17	18	18	19	27	
19	19	21	25	15	
20	18	15	24	22	
21	22	19	21	16	
25	12	21	21	20	
14	22	18	27	18	
14	18	23	20	24	
12	17	18	28	24	
18	19	28	17	17	
16	19	22	20	22	
18	17	12	26	26	
15	16	20	26	22	
16	19	17	27	20	
20	16	23	18	22	
19	19	18	21	22	
18	26	15	14	26	
21	20	15	29	14	
16	19	18	23	23	
14	20	17	28	20	
15	22	20	22	20	
12	21	17	32	17	
25	15	18	21	20	
