0.14	0.28	0.16	0.25	0.16	
0.15	0.2	0.17	0.25	0.22	
0.15	0.15	0.28	0.21	0.2	
0.17	0.3	0.14	0.21	0.17	
0.13	0.2	0.15	0.3	0.21	
0.1	0.28	0.15	0.27	0.19	
0.11	0.23	0.14	0.25	0.26	
0.14	0.27	0.18	0.22	0.18	
0.16	0.23	0.15	0.17	0.28	
0.16	0.19	0.17	0.29	0.18	
0.17	0.23	0.15	0.27	0.17	
0.11	0.17	0.22	0.28	0.21	
0.1	0.19	0.18	0.25	0.27	
0.15	0.18	0.25	0.16	0.25	
0.21	0.16	0.24	0.22	0.16	
0.15	0.22	0.18	0.16	0.28	
0.16	0.15	0.21	0.2	0.27	
0.2	0.19	0.18	0.17	0.25	
0.1	0.27	0.13	0.27	0.22	
0.17	0.14	0.15	0.28	0.25	
0.12	0.25	0.17	0.24	0.21	
0.14	0.26	0.11	0.22	0.26	
0.11	0.21	0.16	0.29	0.22	
0.15	0.19	0.23	0.19	0.23	
0.19	0.19	0.17	0.23	0.21	
0.15	0.22	0.2	0.26	0.16	
0.13	0.14	0.23	0.3	0.19	
0.18	0.12	0.23	0.23	0.23	
0.17	0.18	0.18	0.19	0.27	
0.19	0.19	0.21	0.25	0.15	
0.2	0.18	0.15	0.24	0.22	
0.21	0.22	0.19	0.21	0.16	
0.25	0.12	0.21	0.21	0.2	
0.14	0.22	0.18	0.27	0.18	
0.14	0.18	0.23	0.2	0.24	
0.12	0.17	0.18	0.28	0.24	
0.18	0.19	0.28	0.17	0.17	
0.16	0.19	0.22	0.2	0.22	
0.18	0.17	0.12	0.26	0.26	
0.15	0.16	0.2	0.26	0.22	
0.16	0.19	0.17	0.27	0.2	
0.2	0.16	0.23	0.18	0.22	
0.19	0.19	0.18	0.21	0.22	
0.18	0.26	0.15	0.14	0.26	
0.21	0.2	0.15	0.29	0.14	
0.16	0.19	0.18	0.23	0.23	
0.14	0.2	0.17	0.28	0.2	
0.15	0.22	0.2	0.22	0.2	
0.12	0.21	0.17	0.32	0.17	
0.25	0.15	0.18	0.21	0.2	
